type,botId,userId,timeStamp,channel,message
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:59 IST,skypeforbusiness,Please type 'How can you help me' for any more help.
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:59 IST,skypeforbusiness,As per your request the password of your userID 310140384 on the SAP system PR4 client 310 is reset. If needed your userID has also been unlocked. You will receive a mail containing a new one-time use password and instructions.
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:56 IST,skypeforbusiness,Give me few seconds while I validate your details ...
incoming,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:54 IST,skypeforbusiness,sap
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:41 IST,skypeforbusiness,"Well, Which one of the below task you want to perform. Please re-enter the task you want to perform displayed in below . Type 'discard' if this is not what you are looking for - 
 *  Reset SAP password
 *  Reset LUX password"
incoming,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:40 IST,skypeforbusiness,reset my password system pr4 user 310140384
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:09 IST,skypeforbusiness,"I have discarded our previous conversation because of inactivity timeout.  
 
You can continue to chat with me here or, if you want a better, media-rich user experience please visit me on my web page [link] (https://www.bot.intra.lighting.com/thea/).  
 
You will need to be on the Signify network or connected to it via VPN to access my web avatar"
incoming,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-03T19:41:09 IST,skypeforbusiness,reset my password system pr4 user 310140384
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-02T16:29:40 IST,skypeforbusiness,Please type 'How can you help me' for any more help.
outgoing,st-710e7d3d-f795-569f-9055-6f158ca1cf28,u-8975ef76-8ba4-5be5-a7f4-d756f9156256,2018-11-02T16:29:40 IST,skypeforbusiness,As per your request the password of your userID 310140384 on the SAP system PR4 client 310 is reset. If needed your userID has also been unlocked. You will receive a mail containing a new one-time use password and instructions.
